Governorate,Delegation,Locality,Nature,Type of Real Estate,Surface,Price,Inserted On
Tunis,Ain Zaghouan,Ain Zaghouan,Rental,4-room apartment,1.0,4000.0,22/02/2023
Nabeul,Hammamet,Hammamet,Sale,Houses,320.0,1300000.0,29/11/2023
Tunis,La Marsa,La Marsa,Sale,3-room apartment,134.0,340000.0,08/11/2023
Bizerte,Bizerte Nord,Bizerte Nord,Land,Vacant land,320.0,480000.0,11/07/2023
Kairouan,Kairouan Sud,Kairouan Sud,Rental,Surfaces,150.0,420.0,15/05/2023
Sfax,Sakiet Eddaier,Sakiet Eddaier,Sale,Houses,150.0,120000.0,29/07/2023
Tunis,Cite El Khadra,Cite El Khadra,Rental,Houses,200.0,2000.0,16/09/2023
Nabeul,El Haouaria,El Haouaria,Land,Vacant land,222.0,77000.0,25/08/2023
Ben arous,Bou Mhel El Bassatine,Bou Mhel El Bassatine,Sale,3-room apartment,100.0,125000.0,15/11/2023
Ariana,Raoued,Raoued,Rental,3-room apartment,90.0,1000.0,21/11/2023
Nabeul,Hammamet,Hammamet,Sale,Houses,800.0,1750000.0,09/05/2023
Sousse,Hammam Sousse,Hammam Sousse,Sale,1-room apartment,50.0,75000.0,14/08/2023
Ariana,Ariana Ville,Ariana Ville,Rental,4-room apartment,100.0,800.0,30/09/2023
Ben arous,Hammam Chatt,Hammam Chatt,Rental,1-room apartment,20.0,250.0,27/11/2023
Sousse,Kalaa Essghira,Kalaa Essghira,Land,Vacant land,561.0,710000.0,07/06/2022
Manouba,Mannouba,Mannouba,Rental,4-room apartment,120.0,900.0,03/12/2023
Tunis,La Marsa,La Marsa,Rental,3-room apartment,250.0,3200.0,14/07/2022
Nabeul,Hammamet,Hammamet,Sale,2-room apartment,122.0,305000.0,05/12/2023
Sousse,Akouda,Akouda,Rental,2-room apartment,60.0,450.0,12/09/2023
Tunis,La Marsa,La Marsa,Sale,3-room apartment,167.0,467000.0,23/05/2023
Ben arous,Rades,Rades,Sale,Houses,480.0,1130000.0,02/11/2023
Gafsa,Gafsa Sud,Gafsa Sud,Sale,5-room apartment and more,589.0,499000.0,01/12/2023
Bizerte,Bizerte Nord,Bizerte Nord,Sale,Houses,1200.0,2000000.0,04/11/2023
Ben arous,El Mourouj,El Mourouj,Rental,3-room apartment,105.0,850.0,17/10/2023
Ariana,La Soukra,La Soukra,Sale,Houses,170.0,210000.0,11/09/2023
Tunis,La Marsa,La Marsa,Rental,Houses,800.0,6000.0,23/10/2023
Nabeul,Hammamet,Hammamet,Sale,Duplex,230.0,900000.0,30/05/2023
Nabeul,Kelibia,Kelibia,Sale,Houses,110.0,265000.0,02/11/2023
Ben arous,Ben Arous,Ben Arous,Sale,Other,3800.0,9401400.0,22/10/2023
Tunis,La Marsa,La Marsa,Land,Vacant land,400.0,1600000.0,17/08/2023
Tunis,Cite El Khadra,Cite El Khadra,Land,Vacant land,1000.0,2800000.0,11/02/2023
Tunis,Bab Bhar,Bab Bhar,Rental,4-room apartment,100.0,630.0,14/08/2023
Tunis,La Marsa,La Marsa,Rental,2-room apartment,1.0,1500.0,16/12/2022
Ben arous,Bou Mhel El Bassatine,Bou Mhel El Bassatine,Rental,1-room apartment,55.0,1300.0,11/11/2023
Ben arous,El Mourouj,El Mourouj,Sale,Duplex,260.0,670000.0,16/09/2023
Nabeul,Hammamet,Hammamet,Sale,Houses,300.0,225000.0,19/10/2023
Nabeul,Hammamet,Hammamet,Sale,3-room apartment,80.0,330000.0,14/09/2023
Ariana,Raoued,Raoued,Land,Vacant land,506.0,177000.0,12/06/2023
Tunis,La Marsa,La Marsa,Rental,Houses,400.0,4500.0,02/10/2023
Nabeul,Kelibia,Kelibia,Sale,Houses,512.0,500000.0,20/10/2023
Nabeul,Menzel Temime,Menzel Temime,Land,Vacant land,1378.0,344000.0,27/09/2023
Tunis,Ain Zaghouan,Ain Zaghouan,Rental,3-room apartment,130.0,1500.0,14/11/2023
Ben arous,Rades,Rades,Sale,Surfaces,3000.0,1300000.0,03/08/2023
Tunis,El Menzah,El Menzah,Rental,2-room apartment,65.0,900.0,01/09/2023
Tunis,Carthage,Carthage,Rental,2-room apartment,100.0,1200.0,10/09/2023
Nabeul,Hammamet,Hammamet,Sale,Houses,400.0,1520000.0,21/11/2023
Bizerte,Bizerte Nord,Bizerte Nord,Land,Vacant land,400.0,440000.0,21/11/2023
Tunis,Le Bardo,Le Bardo,Rental,4-room apartment,170.0,750.0,30/04/2023
Tunis,Bab Bhar,Bab Bhar,Rental,2-room apartment,70.0,850.0,21/09/2023
Monastir,Monastir,Monastir,Land,Vacant land,371.0,426650.0,03/10/2023
Manouba,Mannouba,Mannouba,Sale,2-room apartment,95.0,170000.0,04/09/2023
Sousse,Sousse Ville,Sousse Ville,Sale,Houses,300.0,250000.0,11/09/2023
Nabeul,Hammamet,Hammamet,Rental,3-room apartment,150.0,2080.0,24/10/2023
Sfax,Sfax Ville,Sfax Ville,Sale,3-room apartment,56.0,106000.0,27/11/2023
Ben arous,Mornag,Mornag,Land,Agricultural land,137.0,80000.0,07/02/2023
Tunis,La Medina,La Medina,Rental,1-room apartment,30.0,300.0,24/11/2023
Tunis,La Marsa,La Marsa,Sale,Houses,800.0,2200000.0,07/12/2022
Nabeul,Hammamet,Hammamet,Land,Vacant land,1000.0,150000.0,11/11/2023
Tunis,La Marsa,La Marsa,Rental,4-room apartment,150.0,2500.0,21/01/2020
Zaghouan,Bir Mcherga,Bir Mcherga,Land,Agricultural land,190000.0,660000.0,11/10/2023
Ariana,Ariana Ville,Ariana Ville,Rental,1-room apartment,74.0,1200.0,16/09/2023
Monastir,Monastir,Monastir,Land,Vacant land,300.0,435000.0,13/11/2023
Ben arous,El Mourouj,El Mourouj,Rental,2-room apartment,90.0,500.0,03/12/2023
Sfax,Sakiet Eddaier,Sakiet Eddaier,Sale,Houses,1424.0,600000.0,03/09/2023
Tunis,El Kram,El Kram,Rental,2-room apartment,200.0,250.0,22/10/2023
Sfax,Sakiet Eddaier,Sakiet Eddaier,Sale,Surfaces,2615.0,300000.0,17/08/2023
Ben arous,Bou Mhel El Bassatine,Bou Mhel El Bassatine,Rental,3-room apartment,150.0,1100.0,06/12/2023
Tunis,Ain Zaghouan,Ain Zaghouan,Sale,3-room apartment,138.0,555000.0,14/11/2023
Ariana,Ariana Ville,Ariana Ville,Rental,3-room apartment,100.0,1500.0,18/11/2023
Nabeul,Hammamet,Hammamet,Sale,3-room apartment,90.0,630000.0,17/10/2023
Nabeul,Hammamet,Hammamet,Rental,Houses,90.0,1850.0,22/10/2023
Ben arous,Bou Mhel El Bassatine,Bou Mhel El Bassatine,Land,Vacant land,1000.0,1200000.0,10/07/2023
Ariana,Raoued,Raoued,Sale,3-room apartment,108.0,240000.0,07/09/2023
Ariana,Mnihla,Mnihla,Sale,Other,36.0,80000.0,20/10/2023
Ben arous,Ben Arous,Ben Arous,Rental,3-room apartment,85.0,800.0,24/10/2023
Ariana,La Soukra,La Soukra,Rental,Surfaces,760.0,950.0,02/12/2023
Bizerte,Ras Jebel,Ras Jebel,Land,Vacant land,3640.0,666666.0,27/08/2023
Ariana,Sidi Thabet,Sidi Thabet,Land,Vacant land,1482.0,550000.0,31/07/2023
Nabeul,Hammamet,Hammamet,Land,Vacant land,1000.0,220000.0,16/11/2023
Ben arous,Rades,Rades,Rental,Houses,130.0,450.0,29/11/2023
Nabeul,El Haouaria,El Haouaria,Land,Vacant land,210.0,33000.0,03/07/2023
Tunis,Ain Zaghouan,Ain Zaghouan,Rental,1-room apartment,70.0,1700.0,23/02/2023
Tunis,El Menzah,El Menzah,Rental,1-room apartment,1.0,750.0,04/12/2023
Tunis,El Menzah,El Menzah,Rental,1-room apartment,60.0,700.0,05/12/2023
Sfax,Sfax Sud,Sfax Sud,Land,Vacant land,1500.0,1500000.0,24/11/2023
Ariana,Ariana Ville,Ariana Ville,Sale,Houses,603.0,1350000.0,03/10/2023
Nabeul,Hammamet,Hammamet,Land,Vacant land,15000.0,2625000.0,16/11/2023
Sousse,Sousse Ville,Sousse Ville,Sale,3-room apartment,127.0,265000.0,10/11/2023
Tunis,La Marsa,La Marsa,Rental,5-room apartment and more,300.0,1000.0,16/11/2023
Ariana,Raoued,Raoued,Sale,3-room apartment,70.0,130000.0,08/11/2023
Ariana,Raoued,Raoued,Rental,3-room apartment,122.0,1000.0,29/11/2023
Ariana,Ariana Ville,Ariana Ville,Offices & Shops,Office,100.0,365.0,13/10/2023
Nabeul,Hammamet,Hammamet,Rental,3-room apartment,120.0,1400.0,29/09/2023
Ariana,La Soukra,La Soukra,Rental,2-room apartment,60.0,10500.0,16/03/2023
Nabeul,Kelibia,Kelibia,Sale,2-room apartment,80.0,150000.0,20/10/2023
Nabeul,Kelibia,Kelibia,Sale,Surfaces,476.0,430000.0,22/10/2023
Nabeul,Hammamet,Hammamet,Sale,Houses,370.0,1300000.0,13/10/2023
Tunis,Ain Zaghouan,Ain Zaghouan,Sale,2-room apartment,145.0,450000.0,12/11/2023
Nabeul,Hammamet,Hammamet,Sale,Houses,220.0,870000.0,02/12/2023
Beja,Mejez El Bab,Mejez El Bab,Land,Agricultural land,250000.0,30000.0,09/05/2023
Sousse,Sousse Riadh,Sousse Riadh,Land,Vacant land,190.0,76000.0,08/09/2023
Ariana,Ariana Ville,Ariana Ville,Rental,2-room apartment,90.0,800.0,20/10/2023
Sousse,Hammam Sousse,Hammam Sousse,Land,Vacant land,180.0,540000.0,10/08/2022
Nabeul,Hammamet,Hammamet,Sale,Houses,290.0,950000.0,29/09/2023
Nabeul,Hammamet,Hammamet,Sale,Houses,200.0,690000.0,17/11/2023
Nabeul,Hammamet,Hammamet,Land,Vacant land,651.0,813750.0,06/11/2023
Sousse,Akouda,Akouda,Land,Agricultural land,4000.0,240000.0,03/10/2021
Ariana,Mnihla,Mnihla,Rental,3-room apartment,150.0,1200.0,02/11/2023
Nabeul,Hammamet,Hammamet,Rental,Houses,350.0,2500.0,20/11/2023
Sfax,Sakiet Ezzit,Sakiet Ezzit,Sale,3-room apartment,108.0,200000.0,05/08/2023
Nabeul,Hammamet,Hammamet,Sale,Houses,150.0,900000.0,23/10/2023
Zaghouan,Zaghouan,Zaghouan,Land,Agricultural land,60000.0,260000.0,08/11/2023
Ariana,Mnihla,Mnihla,Land,Vacant land,3332.0,4000000.0,20/11/2023
Bizerte,Utique,Utique,Land,Vacant land,450.0,50000.0,06/10/2023
Ariana,Mnihla,Mnihla,Rental,1-room apartment,70.0,450.0,16/09/2023
Nabeul,Beni Khiar,Beni Khiar,Sale,Houses,204.0,260000.0,14/11/2023
Ariana,Ariana Ville,Ariana Ville,Vacation rental,2-room apartment,70.0,1800.0,15/07/2021
Ben arous,Hammam Chatt,Hammam Chatt,Rental,3-room apartment,87.0,520.0,02/10/2022
Monastir,Monastir,Monastir,Sale,2-room apartment,96.0,450000.0,18/11/2023
Ariana,Ariana Ville,Ariana Ville,Land,Vacant land,428.0,280000.0,03/08/2023
Nabeul,Hammamet,Hammamet,Sale,Houses,288.0,850000.0,09/11/2023
Nabeul,Hammamet,Hammamet,Land,Vacant land,1000.0,300000.0,04/10/2023
Nabeul,Beni Khiar,Beni Khiar,Land,Vacant land,1000.0,300000.0,05/12/2023
Tunis,La Marsa,La Marsa,Rental,Other,323.0,2200.0,28/11/2023
Tunis,Cite El Khadra,Cite El Khadra,Sale,2-room apartment,50.0,170000.0,20/09/2023
Tunis,Cite El Khadra,Cite El Khadra,Rental,2-room apartment,1.0,750.0,02/12/2023
Sousse,Sousse Jaouhara,Sousse Jaouhara,Sale,4-room apartment,97.0,210000.0,02/08/2022
Sousse,Sousse Jaouhara,Sousse Jaouhara,Sale,Houses,400.0,1100000.0,06/06/2022
Tunis,El Omrane,El Omrane,Rental,2-room apartment,50.0,800.0,12/09/2023
Nabeul,Nabeul,Nabeul,Land,Vacant land,236.0,35000.0,23/10/2023
Ariana,Sidi Thabet,Sidi Thabet,Land,Agricultural land,47500.0,950000.0,16/11/2023
Nabeul,Kelibia,Kelibia,Sale,Surfaces,280.0,90000.0,22/10/2023
Nabeul,Hammamet,Hammamet,Sale,Houses,350.0,1200000.0,30/11/2023
Tunis,Carthage,Carthage,Rental,3-room apartment,140.0,1800.0,05/10/2023
Tunis,La Marsa,La Marsa,Land,Vacant land,289.0,350000.0,09/09/2023
Nabeul,Hammamet,Hammamet,Sale,Houses,700.0,3900000.0,18/11/2023
Tunis,Bab Bhar,Bab Bhar,Offices & Shops,Business property,80.0,85000.0,09/11/2023
Nabeul,Hammamet,Hammamet,Land,Vacant land,500.0,625000.0,16/11/2023
Zaghouan,Bir Mcherga,Bir Mcherga,Land,Agricultural land,30000.0,220000.0,05/12/2022
Tunis,Cite El Khadra,Cite El Khadra,Offices & Shops,Office,107.0,2000.0,25/06/2023
Tunis,El Menzah,El Menzah,Rental,3-room apartment,170.0,2600.0,13/10/2023
Tunis,La Marsa,La Marsa,Rental,Houses,600.0,5500.0,06/11/2022
Nabeul,Hammamet,Hammamet,Sale,Houses,290.0,920000.0,11/10/2023
Sousse,Akouda,Akouda,Sale,Houses,140.0,250000.0,12/08/2023
Nabeul,Nabeul,Nabeul,Sale,Surfaces,4000.0,1600000.0,20/11/2023
Tunis,El Ouerdia,El Ouerdia,Sale,Houses,1269.0,1000000.0,13/07/2023
Nabeul,Hammamet,Hammamet,Sale,Houses,550.0,2500000.0,09/02/2023
Tunis,Ain Zaghouan,Ain Zaghouan,Rental,2-room apartment,110.0,1200.0,29/11/2023
Nabeul,Hammamet,Hammamet,Sale,Houses,350.0,1200000.0,02/11/2023
Sousse,Hammam Sousse,Hammam Sousse,Sale,Houses,1000.0,1800000.0,29/01/2018
Tunis,La Marsa,La Marsa,Sale,2-room apartment,95.0,395000.0,18/10/2023
Nabeul,Beni Khiar,Beni Khiar,Rental,Houses,300.0,800.0,02/10/2023
Nabeul,Kelibia,Kelibia,Sale,Houses,367.0,300000.0,27/03/2023
Ariana,Ariana Ville,Ariana Ville,Sale,Houses,650.0,1100000.0,17/09/2023
Ben arous,El Mourouj,El Mourouj,Rental,4-room apartment,160.0,650.0,28/09/2023
Ben arous,El Mourouj,El Mourouj,Offices & Shops,Office,40.0,700.0,25/05/2023
Tunis,Ain Zaghouan,Ain Zaghouan,Offices & Shops,Business property,100.0,200000.0,12/09/2023
Tunis,Bab Bhar,Bab Bhar,Rental,2-room apartment,1.0,850.0,05/12/2023
Ariana,Ariana Ville,Ariana Ville,Sale,4-room apartment,89.0,310000.0,15/11/2023
Sousse,Hammam Sousse,Hammam Sousse,Sale,Surfaces,150.0,450000.0,05/08/2021
Nabeul,Hammamet,Hammamet,Sale,3-room apartment,80.0,285000.0,23/11/2023
Tunis,Bab Bhar,Bab Bhar,Rental,1-room apartment,50.0,600.0,15/09/2023
Nabeul,Hammamet,Hammamet,Sale,Houses,400.0,800000.0,21/11/2023
Ariana,Ariana Ville,Ariana Ville,Rental,3-room apartment,50.0,750.0,10/08/2023
Sousse,Hammam Sousse,Hammam Sousse,Sale,3-room apartment,170.0,350000.0,01/11/2023
Sfax,Sakiet Eddaier,Sakiet Eddaier,Rental,4-room apartment,100.0,460.0,07/11/2023
Ben arous,Nouvelle Medina,Nouvelle Medina,Rental,Houses,200.0,1000.0,08/11/2023
Nabeul,Beni Khiar,Beni Khiar,Land,Vacant land,1491.0,298000.0,10/11/2023
Ariana,Mnihla,Mnihla,Land,Vacant land,200.0,54000.0,17/10/2023
Tunis,La Marsa,La Marsa,Sale,4-room apartment,161.0,495000.0,12/10/2023
Nabeul,Kelibia,Kelibia,Land,Vacant land,224.0,112000.0,09/08/2023
Tunis,La Marsa,La Marsa,Land,Vacant land,519.0,620000.0,27/11/2023
Tunis,El Menzah,El Menzah,Rental,4-room apartment,135.0,1200.0,02/10/2023
Tunis,La Marsa,La Marsa,Offices & Shops,Office,13000.0,1010.0,25/01/2023
Nabeul,Hammamet,Hammamet,Sale,Houses,300.0,750000.0,27/11/2023
Ariana,Ariana Ville,Ariana Ville,Vacation rental,1-room apartment,45.0,1600.0,04/08/2021
Manouba,Mannouba,Mannouba,Rental,Houses,700.0,2200.0,28/11/2023
Tunis,La Marsa,La Marsa,Rental,3-room apartment,1.0,1800.0,25/04/2023
Ariana,Ariana Ville,Ariana Ville,Sale,Surfaces,614.0,1100000.0,27/09/2023
Nabeul,Kelibia,Kelibia,Sale,Houses,160.0,90000.0,09/10/2023
Nabeul,Hammamet,Hammamet,Land,Vacant land,618.0,402000.0,07/11/2023
Tunis,Ain Zaghouan,Ain Zaghouan,Rental,1-room apartment,75.0,1800.0,10/01/2023
Tunis,Bab Bhar,Bab Bhar,Offices & Shops,Surfaces,60.0,4000.0,16/11/2023
Tunis,La Marsa,La Marsa,Offices & Shops,Business property,50.0,100000.0,11/05/2023
Medenine,Djerba - Midoun,Djerba - Midoun,Land,Vacant land,1300.0,130000.0,31/10/2023
Tunis,Bab Souika,Bab Souika,Rental,Houses,95.0,600.0,28/11/2023
Tunis,La Marsa,La Marsa,Rental,2-room apartment,40.0,1400.0,10/11/2023
Tunis,La Marsa,La Marsa,Rental,3-room apartment,120.0,950.0,01/11/2023
Nabeul,Hammamet,Hammamet,Land,Vacant land,820.0,1804000.0,16/11/2023
Nabeul,Hammamet,Hammamet,Land,Vacant land,636.0,890400.0,02/12/2023
Manouba,Mannouba,Mannouba,Sale,3-room apartment,90.0,165000.0,04/12/2023
Bizerte,Bizerte Nord,Bizerte Nord,Sale,Houses,102.0,65000.0,14/11/2023
Nabeul,Hammamet,Hammamet,Rental,2-room apartment,60.0,1200.0,12/10/2023
Tunis,La Goulette,La Goulette,Sale,3-room apartment,170.0,680000.0,20/02/2023
Tunis,La Marsa,La Marsa,Rental,Surfaces,21.0,1500.0,02/11/2023
Tunis,La Marsa,La Marsa,Rental,4-room apartment,200.0,3100.0,18/01/2022
Sousse,Hammam Sousse,Hammam Sousse,Sale,Houses,170.0,280000.0,14/09/2022
Nabeul,Hammamet,Hammamet,Land,Vacant land,713.0,892000.0,14/11/2023
Zaghouan,Bir Mcherga,Bir Mcherga,Land,Agricultural land,12500.0,1850000.0,27/02/2022
Nabeul,Hammamet,Hammamet,Sale,Houses,240.0,800000.0,29/11/2023
Nabeul,Takelsa,Takelsa,Sale,Houses,6000.0,330000.0,13/09/2023
Ariana,Ariana Ville,Ariana Ville,Rental,4-room apartment,155.0,1700.0,29/08/2023
Tunis,La Marsa,La Marsa,Rental,3-room apartment,120.0,1500.0,03/07/2023
Tunis,Bab Bhar,Bab Bhar,Land,Vacant land,213.0,780000.0,28/09/2023
Tunis,La Marsa,La Marsa,Rental,Houses,500.0,6500.0,30/08/2023
Ben arous,El Mourouj,El Mourouj,Land,Vacant land,6800.0,3500000.0,18/08/2023
Tunis,Cite El Khadra,Cite El Khadra,Sale,Houses,500.0,700000.0,04/11/2023
Nabeul,Hammamet,Hammamet,Rental,Houses,500.0,3500.0,02/11/2023
Ben arous,El Mourouj,El Mourouj,Offices & Shops,Other,80.0,140000.0,29/09/2023
Nabeul,Nabeul,Nabeul,Sale,Surfaces,5772.0,3982680.0,23/11/2023
Nabeul,Hammamet,Hammamet,Land,Vacant land,3444.0,3444000.0,11/10/2023
Nabeul,Hammamet,Hammamet,Sale,Houses,310.0,1150000.0,18/11/2023
Tunis,Ain Zaghouan,Ain Zaghouan,Rental,3-room apartment,1.0,1500.0,16/12/2022
Sousse,Hammam Sousse,Hammam Sousse,Land,Vacant land,5750.0,3000000.0,02/06/2022
Tunis,La Marsa,La Marsa,Offices & Shops,Surfaces,178.0,1780000.0,04/07/2023
Ariana,La Soukra,La Soukra,Sale,Surfaces,527.0,368900.0,02/11/2023
Ben arous,Megrine,Megrine,Rental,3-room apartment,80.0,900.0,19/11/2023
Tunis,La Marsa,La Marsa,Sale,Other,320.0,350000.0,22/05/2023
Tunis,El Menzah,El Menzah,Sale,Surfaces,30.0,35000.0,19/08/2023
Nabeul,Dar Chaabane Elfehri,Dar Chaabane Elfehri,Offices & Shops,Surfaces,268.0,600000.0,14/11/2023
Tunis,Ain Zaghouan,Ain Zaghouan,Rental,3-room apartment,1.0,2500.0,25/07/2023
Ariana,La Soukra,La Soukra,Sale,Houses,120.0,250000.0,30/11/2023
Bizerte,Bizerte Nord,Bizerte Nord,Land,Vacant land,298.0,134100.0,01/10/2023
Tunis,La Medina,La Medina,Sale,4-room apartment,145.0,200000.0,27/10/2023
Ariana,Raoued,Raoued,Rental,3-room apartment,111.0,900.0,05/12/2023
Nabeul,Hammamet,Hammamet,Sale,Houses,840.0,2000000.0,17/11/2023
Medenine,Zarzis,Zarzis,Land,Agricultural land,20000.0,40000.0,26/08/2023
Tunis,La Marsa,La Marsa,Offices & Shops,Surfaces,350.0,600000.0,22/09/2023
Ariana,La Soukra,La Soukra,Rental,2-room apartment,62.0,850.0,27/11/2023
Ariana,La Soukra,La Soukra,Sale,3-room apartment,124.0,250000.0,02/12/2023
Ariana,Sidi Thabet,Sidi Thabet,Land,Vacant land,914.0,164520.0,20/12/2022
Tunis,Bab Bhar,Bab Bhar,Rental,2-room apartment,87.0,1200.0,15/09/2023
Manouba,Mannouba,Mannouba,Rental,3-room apartment,80.0,850.0,27/10/2023
Tunis,Ain Zaghouan,Ain Zaghouan,Rental,2-room apartment,1.0,1500.0,19/04/2023
Nabeul,Beni Khalled,Beni Khalled,Sale,Houses,258.0,300000.0,02/12/2023
Tunis,Bab Bhar,Bab Bhar,Sale,3-room apartment,57.0,170000.0,21/06/2023
Manouba,Mannouba,Mannouba,Sale,Other,386.0,270000.0,08/11/2023
Sfax,Sakiet Ezzit,Sakiet Ezzit,Sale,Houses,500.0,600000.0,15/10/2023
Ben arous,El Mourouj,El Mourouj,Rental,Houses,100.0,700.0,05/10/2023
Ariana,Ariana Ville,Ariana Ville,Sale,Other,230.0,650000.0,12/07/2022
Tunis,La Marsa,La Marsa,Rental,3-room apartment,165.0,1200.0,29/08/2023
Nabeul,Korba,Korba,Sale,Houses,230.0,250000.0,12/09/2023
Nabeul,Hammamet,Hammamet,Rental,2-room apartment,140.0,2500.0,19/09/2023
Tunis,Bab Bhar,Bab Bhar,Rental,1-room apartment,1.0,480.0,25/11/2023
Ben arous,Ezzahra,Ezzahra,Sale,4-room apartment,175.0,470000.0,03/11/2023
Bizerte,Bizerte Nord,Bizerte Nord,Land,Vacant land,380.0,40000.0,14/09/2023
Sousse,Hammam Sousse,Hammam Sousse,Sale,3-room apartment,92.0,250000.0,14/09/2023
Bizerte,Bizerte Nord,Bizerte Nord,Sale,Houses,520.0,550000.0,07/09/2023
Sousse,Akouda,Akouda,Land,Agricultural land,3800.0,700000.0,21/09/2023
Tunis,La Marsa,La Marsa,Rental,Houses,280.0,4000.0,01/11/2023
Tunis,Bab Bhar,Bab Bhar,Rental,2-room apartment,50.0,700.0,16/11/2023
Tunis,Cite El Khadra,Cite El Khadra,Sale,3-room apartment,80.0,140000.0,05/05/2023
Ariana,La Soukra,La Soukra,Offices & Shops,"Workshop, Garage",75.0,700.0,03/10/2023
Ariana,Ariana Ville,Ariana Ville,Sale,2-room apartment,39.0,170000.0,06/11/2023
